;CODMUNRES;ano;homicidios;idade_media;negro_proporcao
54731;2702900;1996;2;41,5;
54732;2703007;1996;6;34,5;
54733;2703106;1996;3;25,666666666666668;
54734;2703205;1996;3;29,0;
54735;2703304;1996;2;28,5;
54736;2703502;1996;3;33,0;
54737;2703601;1996;1;29,0;
54738;2703809;1996;5;33,6;
54739;2703908;1996;3;34,333333333333336;
54740;2704005;1996;4;28,0;
54741;2704104;1996;2;37,0;
54742;2704203;1996;6;48,0;
54743;2704302;1996;288;29,67361111111111;
54744;2704401;1996;2;24,5;
54745;2704500;1996;5;37,8;
54746;2704609;1996;2;33,5;
54747;2704708;1996;5;25,8;
54748;2704807;1996;2;32,5;
54749;2705101;1996;7;36,285714285714285;
54750;2705200;1996;10;29,6;
54751;2705408;1996;2;37,5;
54752;2705507;1996;8;37,25;
54753;2705606;1996;2;39,5;
54754;2705705;1996;3;43,333333333333336;
54755;2706109;1996;1;58,0;
54756;2706307;1996;13;31,692307692307693;
54757;2706406;1996;4;39,0;
54758;2706448;1996;1;31,0;
54759;2706505;1996;2;44,0;
54760;2706604;1996;2;36,5;
54761;2706703;1996;14;26,928571428571427;
54762;2706802;1996;4;32,5;
54763;2706901;1996;10;41,1;
54764;2707008;1996;4;42,75;
54765;2707107;1996;4;31,25;
