,uf,nome_mun,quant,codigo_ibge,valor
4844,SP,BARIRI,2.0,3505203,32980409.0
4845,SP,BARRA BONITA,2.0,3505302,37189493.0
4846,SP,BARRA DO CHAPEU,0.0,3505351,9785864.0
4847,SP,BARRA DO TURVO,1.0,3505401,11765163.0
4848,SP,BARRETOS,8.0,3505500,127652748.0
4849,SP,BARRINHA,1.0,3505609,40613207.0
4850,SP,BARUERI,12.0,3505708,373709598.0
4851,SP,BASTOS,1.0,3505807,19664018.0
4852,SP,BATATAIS,2.0,3505906,65666280.0
4853,SP,BAURU,24.0,3506003,409333124.0
4854,SP,BEBEDOURO,6.0,3506102,81516105.0
4855,SP,BENTO DE ABREU,1.0,3506201,2941511.0
4856,SP,BERNARDINO DE CAMPOS,1.0,3506300,12911577.0
4857,SP,BERTIOGA,4.0,3506359,104054896.0
4858,SP,BILAC,1.0,3506409,7907594.0
4859,SP,BIRIGUI,7.0,3506508,130235733.0
4860,SP,BIRITIBA-MIRIM,2.0,3506607,45752881.0
4861,SP,BOA ESPERANCA DO SUL,1.0,3506706,16438635.0
4862,SP,BOCAINA,1.0,3506805,12933324.0
4863,SP,BOFETE,1.0,3506904,13064923.0
4864,SP,BOITUVA,2.0,3507001,70750893.0
4865,SP,BOM JESUS DOS PERDOES,1.0,3507100,32823766.0
4866,SP,BOM SUCESSO DE ITARARE,1.0,3507159,5685460.0
4867,SP,BORA,1.0,3507209,955411.0
4868,SP,BORACEIA,1.0,3507308,5780170.0
4869,SP,BORBOREMA,1.0,3507407,16881327.0
4870,SP,BOREBI,0.0,3507456,3108492.0
4871,SP,BOTUCATU,11.0,3507506,150220840.0
4872,SP,BRAGANCA PAULISTA,9.0,3507605,203531601.0
4873,SP,BRAUNA,1.0,3507704,7147534.0
4874,SP,BREJO ALEGRE,1.0,3507753,3846435.0
4875,SP,BRODOWSKI,2.0,3507803,30955657.0
4876,SP,BROTAS,2.0,3507902,24926979.0
4877,SP,BURI,1.0,3508009,29734924.0
4878,SP,BURITAMA,1.0,3508108,24508439.0
4879,SP,BURITIZAL,1.0,3508207,5101727.0
4880,SP,CABRALIA PAULISTA,1.0,3508306,5682732.0
4881,SP,CABREUVA,2.0,3508405,55477021.0
4882,SP,CACAPAVA,6.0,3508504,110725694.0
4883,SP,CACHOEIRA PAULISTA,3.0,3508603,41645641.0
4884,SP,CACONDE,1.0,3508702,23784277.0
4885,SP,CAFELANDIA,1.0,3508801,18240474.0
4886,SP,CAIABU,1.0,3508900,4012168.0
4887,SP,CAIEIRAS,5.0,3509007,110749410.0
4888,SP,CAIUA,1.0,3509106,6482064.0
4889,SP,CAJAMAR,5.0,3509205,110977041.0
4890,SP,CAJATI,1.0,3509254,41606569.0
4891,SP,CAJOBI,1.0,3509304,10706491.0
4892,SP,CAJURU,1.0,3509403,30271205.0
4893,SP,CAMPINA DO MONTE ALEGRE,1.0,3509452,8705395.0
4894,SP,CAMPINAS,68.0,3509502,1239860830.0
4895,SP,CAMPO LIMPO PAULISTA,3.0,3509601,99979324.0
4896,SP,CAMPOS DO JORDAO,3.0,3509700,65827920.0
4897,SP,CAMPOS NOVOS PAULISTA,1.0,3509809,6875111.0
4898,SP,CANANEIA,1.0,3509908,20413765.0
4899,SP,CANAS,1.0,3509957,6849681.0
4900,SP,CANDIDO MOTA,2.0,3510005,35904590.0
4901,SP,CANDIDO RODRIGUES,1.0,3510104,3281657.0
4902,SP,CANITAR,1.0,3510153,6419207.0
4903,SP,CAPAO BONITO,3.0,3510203,66671525.0
4904,SP,CAPELA DO ALTO,1.0,3510302,28898845.0
4905,SP,CAPIVARI,2.0,3510401,54068818.0
4906,SP,CARAGUATATUBA,7.0,3510500,191707698.0
4907,SP,CARAPICUIBA,14.0,3510609,563372348.0
4908,SP,CARDOSO,1.0,3510708,16113753.0
4909,SP,CASA BRANCA,1.0,3510807,28652077.0
4910,SP,CASSIA DOS COQUEIROS,1.0,3510906,3539709.0
4911,SP,CASTILHO,1.0,3511003,25429799.0
4912,SP,CATANDUVA,8.0,3511102,122665314.0
4913,SP,CATIGUA,1.0,3511201,7831501.0
4914,SP,CEDRAL,1.0,3511300,11338108.0
4915,SP,CERQUEIRA CESAR,1.0,3511409,22813383.0
4916,SP,CERQUILHO,2.0,3511508,42973131.0
4917,SP,CESARIO LANGE,1.0,3511607,21654024.0
4918,SP,CHARQUEADA,1.0,3511706,18569725.0
4919,SP,CLEMENTINA,1.0,3511904,8256892.0
4920,SP,COLINA,1.0,3512001,19780916.0
4921,SP,COLOMBIA,1.0,3512100,9145870.0
4922,SP,CONCHAL,1.0,3512209,36807038.0
4923,SP,CONCHAS,1.0,3512308,19582417.0
4924,SP,CORDEIROPOLIS,1.0,3512407,24074515.0
4925,SP,COROADOS,1.0,3512506,6501151.0
4926,SP,CORONEL MACEDO,1.0,3512605,6060948.0
4927,SP,CORUMBATAI,1.0,3512704,4031532.0
4928,SP,COSMOPOLIS,3.0,3512803,67467513.0
4929,SP,COSMORAMA,1.0,3512902,10880168.0
4930,SP,COTIA,9.0,3513009,328141954.0
4931,SP,CRAVINHOS,2.0,3513108,37679027.0
4932,SP,CRISTAIS PAULISTA,1.0,3513207,10103539.0
4933,SP,CRUZALIA,1.0,3513306,2556504.0
4934,SP,CRUZEIRO,4.0,3513405,94611362.0
4935,SP,CUBATAO,6.0,3513504,153435719.0
4936,SP,CUNHA,1.0,3513603,35631973.0
4937,SP,DESCALVADO,2.0,3513702,30833052.0
4938,SP,DIADEMA,23.0,3513801,528279915.0
4939,SP,DIRCE REIS,1.0,3513850,1866481.0
4940,SP,DIVINOLANDIA,1.0,3513900,14184778.0
4941,SP,DOBRADA,0.0,3514007,9282399.0
4942,SP,DOIS CORREGOS,1.0,3514106,30046378.0
4943,SP,DOLCINOPOLIS,1.0,3514205,2665998.0
4944,SP,DOURADO,1.0,3514304,8588130.0
4945,SP,DRACENA,3.0,3514403,45804144.0
4946,SP,DUARTINA,1.0,3514502,13887004.0
4947,SP,DUMONT,1.0,3514601,10442141.0
4948,SP,ECHAPORA,1.0,3514700,8515505.0
4949,SP,ELDORADO,1.0,3514809,22362689.0
4950,SP,ELIAS FAUSTO,1.0,3514908,21915240.0
4951,SP,ELISIARIO,1.0,3514924,3211150.0
4952,SP,EMBAUBA,1.0,3514957,2281652.0
4953,SP,EMBU,11.0,3515004,383434038.0
4954,SP,EMBU-GUACU,3.0,3515103,108305374.0
4955,SP,EMILIANOPOLIS,1.0,3515129,3720006.0
4956,SP,ENGENHEIRO COELHO,1.0,3515152,27740288.0
4957,SP,ESPIRITO SANTO DO PINHAL,3.0,3515186,39562835.0
4958,SP,ESPIRITO SANTO DO TURVO,1.0,3515194,5275004.0
4959,SP,ESTRELA D'OESTE,0.0,3515202,8637329.0
4960,SP,ESTRELA DO NORTE,1.0,3515301,2778070.0
4961,SP,EUCLIDES DA CUNHA PAULISTA,1.0,3515350,13008343.0
4962,SP,FARTURA,1.0,3515400,18618671.0
4963,SP,FERNANDOPOLIS,5.0,3515509,79975611.0
4964,SP,FERNANDO PRESTES,1.0,3515608,5790774.0
4965,SP,FERNAO,1.0,3515657,1992366.0
