uf,ano,pop,evento,total,total_vitima,regiao,total_rate,total_vitima_rate
AP,2019,845731.0,Tentativa de homicídio,0.0,241.0,Norte,0.0,28.496058439385575
AP,2020,861773.0,Tentativa de homicídio,0.0,257.0,Norte,0.0,29.822238570946176
AP,2021,877613.0,Tentativa de homicídio,0.0,370.0,Norte,0.0,42.15981303832099
AP,2022,852687.6666666666,Tentativa de homicídio,0.0,255.0,Norte,0.0,29.905440170941844
AP,2023,827762.3333333334,Tentativa de homicídio,0.0,197.0,Norte,0.0,23.799101755052877
AP,2024,802837.0,Tentativa de homicídio,0.0,338.0,Norte,0.0,42.100700391237574
BA,2017,15344447.0,Furto de veículo,5520.0,0.0,Nordeste,35.97392594206882,0.0
BA,2018,14812617.0,Furto de veículo,5333.0,0.0,Nordeste,36.00309114857962,0.0
BA,2019,14873064.0,Furto de veículo,5289.0,0.0,Nordeste,35.56093082097946,0.0
BA,2020,14930634.0,Furto de veículo,4255.0,0.0,Nordeste,28.498454921606143,0.0
BA,2021,14985284.0,Furto de veículo,4663.0,0.0,Nordeste,31.117194709155996,0.0
BA,2022,14940360.333333334,Furto de veículo,6784.0,0.0,Nordeste,45.407204703518865,0.0
BA,2023,14895436.666666666,Furto de veículo,6692.0,0.0,Nordeste,44.92651105002852,0.0
BA,2024,14850513.0,Furto de veículo,6639.0,0.0,Nordeste,44.70552633434279,0.0
BA,2017,15344447.0,Homicídio doloso,0.0,6131.0,Nordeste,0.0,39.9558224548594
BA,2018,14812617.0,Homicídio doloso,0.0,5444.0,Nordeste,0.0,36.752452318182534
BA,2019,14873064.0,Homicídio doloso,0.0,4905.0,Nordeste,0.0,32.979082185083044
BA,2020,14930634.0,Homicídio doloso,0.0,5248.0,Nordeste,0.0,35.14921067651916
BA,2021,14985284.0,Homicídio doloso,0.0,5447.0,Nordeste,0.0,36.34899411983116
BA,2022,14940360.333333334,Homicídio doloso,0.0,4936.0,Nordeste,0.0,33.03802512036691
BA,2023,14895436.666666666,Homicídio doloso,0.0,4614.0,Nordeste,0.0,30.97592976461919
BA,2024,14850513.0,Homicídio doloso,0.0,4205.0,Nordeste,0.0,28.31552014398425
BA,2017,15344447.0,Lesão corporal seguida de morte,0.0,68.0,Nordeste,0.0,0.44315705870664485
BA,2018,14812617.0,Lesão corporal seguida de morte,0.0,72.0,Nordeste,0.0,0.4860721100127006
BA,2019,14873064.0,Lesão corporal seguida de morte,0.0,74.0,Nordeste,0.0,0.4975437475425373
BA,2020,14930634.0,Lesão corporal seguida de morte,0.0,91.0,Nordeste,0.0,0.6094851698862889
BA,2021,14985284.0,Lesão corporal seguida de morte,0.0,56.0,Nordeste,0.0,0.37369995790536903
BA,2022,14940360.333333334,Lesão corporal seguida de morte,0.0,63.0,Nordeste,0.0,0.4216765766983621
BA,2023,14895436.666666666,Lesão corporal seguida de morte,0.0,81.0,Nordeste,0.0,0.5437907045804409
BA,2024,14850513.0,Lesão corporal seguida de morte,0.0,93.0,Nordeste,0.0,0.6262409924828859
BA,2017,15344447.0,Roubo a instituição financeira,28.0,0.0,Nordeste,0.18247643593803023,0.0
BA,2018,14812617.0,Roubo a instituição financeira,11.0,0.0,Nordeste,0.07426101680749594,0.0
BA,2019,14873064.0,Roubo a instituição financeira,4.0,0.0,Nordeste,0.026894256623920938,0.0
BA,2020,14930634.0,Roubo a instituição financeira,4.0,0.0,Nordeste,0.02679055691807863,0.0
BA,2021,14985284.0,Roubo a instituição financeira,14.0,0.0,Nordeste,0.09342498947634226,0.0
BA,2022,14940360.333333334,Roubo a instituição financeira,4.0,0.0,Nordeste,0.026773115980848385,0.0
BA,2023,14895436.666666666,Roubo a instituição financeira,7.0,0.0,Nordeste,0.046994258420531926,0.0
BA,2024,14850513.0,Roubo a instituição financeira,2.0,0.0,Nordeste,0.013467548225438407,0.0
