,CZ,agi,returns,bracket_min,bracket_max,year,state,agi_sum,returns_sum
324,4001.0,12312.0,3485.0,1,24999,2006,AR,514726.0,15231.0
325,4001.0,73926.0,4388.0,25000,49999,2006,AR,514726.0,15231.0
326,4001.0,134690.0,3831.0,50000,74999,2006,AR,514726.0,15231.0
327,4001.0,113592.0,1847.0,75000,99999,2006,AR,514726.0,15231.0
328,4001.0,84041.0,971.0,100000,199999,2006,AR,514726.0,15231.0
329,4001.0,96165.0,709.0,200000,10000000000000000,2006,AR,514726.0,15231.0
330,4002.0,230686.0,65493.0,1,24999,2006,LA,11650432.0,325400.0
331,4002.0,1711651.0,100921.0,25000,49999,2006,LA,11650432.0,325400.0
332,4002.0,2789829.0,78166.0,50000,74999,2006,LA,11650432.0,325400.0
333,4002.0,2426537.0,39332.0,75000,99999,2006,LA,11650432.0,325400.0
334,4002.0,1894985.0,21909.0,100000,199999,2006,LA,11650432.0,325400.0
335,4002.0,2596744.0,19579.0,200000,10000000000000000,2006,LA,11650432.0,325400.0
336,4003.0,57028.0,14037.0,1,24999,2006,LA,2332403.0,64714.0
337,4003.0,322087.0,19106.0,25000,49999,2006,LA,2332403.0,64714.0
338,4003.0,534728.0,14877.0,50000,74999,2006,LA,2332403.0,64714.0
